item,KlosterdatenbankID
https://database.factgrid.de/entity/Q422286,114
https://database.factgrid.de/entity/Q470546,119
https://database.factgrid.de/entity/Q633292,120
https://database.factgrid.de/entity/Q633339,131
https://database.factgrid.de/entity/Q633346,139
https://database.factgrid.de/entity/Q1340389,141
https://database.factgrid.de/entity/Q633298,158
https://database.factgrid.de/entity/Q633323,161
https://database.factgrid.de/entity/Q160433,175
https://database.factgrid.de/entity/Q389227,178
https://database.factgrid.de/entity/Q160430,194
https://database.factgrid.de/entity/Q631412,218
https://database.factgrid.de/entity/Q160277,224
https://database.factgrid.de/entity/Q469419,225
https://database.factgrid.de/entity/Q469424,236
https://database.factgrid.de/entity/Q160278,254
https://database.factgrid.de/entity/Q469675,343
https://database.factgrid.de/entity/Q469418,349
https://database.factgrid.de/entity/Q1750650,368
https://database.factgrid.de/entity/Q21987,415
https://database.factgrid.de/entity/Q469444,49
https://database.factgrid.de/entity/Q469627,510
https://database.factgrid.de/entity/Q164143,56
https://database.factgrid.de/entity/Q1340390,61
https://database.factgrid.de/entity/Q470548,637
https://database.factgrid.de/entity/Q518732,70
https://database.factgrid.de/entity/Q369645,78
https://database.factgrid.de/entity/Q898125,99
https://database.factgrid.de/entity/Q1750638,186
https://database.factgrid.de/entity/Q254568,191
https://database.factgrid.de/entity/Q469448,232
https://database.factgrid.de/entity/Q400523,3248
https://database.factgrid.de/entity/Q469540,353
https://database.factgrid.de/entity/Q1381322,362
https://database.factgrid.de/entity/Q469603,418
https://database.factgrid.de/entity/Q469617,420
https://database.factgrid.de/entity/Q1746752,52
https://database.factgrid.de/entity/Q469618,521
https://database.factgrid.de/entity/Q469434,642
https://database.factgrid.de/entity/Q481209,673
https://database.factgrid.de/entity/Q898085,81
https://database.factgrid.de/entity/Q469453,844
https://database.factgrid.de/entity/Q898074,95
https://database.factgrid.de/entity/Q400534,1015
https://database.factgrid.de/entity/Q469607,226
https://database.factgrid.de/entity/Q390759,675
https://database.factgrid.de/entity/Q898030,792
https://database.factgrid.de/entity/Q631099,843
https://database.factgrid.de/entity/Q1480633,396
https://database.factgrid.de/entity/Q900470,279
https://database.factgrid.de/entity/Q898029,3488
https://database.factgrid.de/entity/Q1089858,419
https://database.factgrid.de/entity/Q1750644,442
https://database.factgrid.de/entity/Q1750637,746
https://database.factgrid.de/entity/Q400540,784
https://database.factgrid.de/entity/Q23240,10689
https://database.factgrid.de/entity/Q21620,20359
https://database.factgrid.de/entity/Q1207218,240
https://database.factgrid.de/entity/Q394334,285
https://database.factgrid.de/entity/Q898060,3006
https://database.factgrid.de/entity/Q400531,3101
https://database.factgrid.de/entity/Q21621,3462
https://database.factgrid.de/entity/Q21618,472
https://database.factgrid.de/entity/Q21619,60090
https://database.factgrid.de/entity/Q160435,690
https://database.factgrid.de/entity/Q469707,766
https://database.factgrid.de/entity/Q21525,92003
https://database.factgrid.de/entity/Q389118,386
https://database.factgrid.de/entity/Q468266,506
https://database.factgrid.de/entity/Q1306267,543
https://database.factgrid.de/entity/Q898032,616
https://database.factgrid.de/entity/Q898033,628
https://database.factgrid.de/entity/Q164275,641
https://database.factgrid.de/entity/Q469508,645
https://database.factgrid.de/entity/Q469507,646
https://database.factgrid.de/entity/Q469510,647
https://database.factgrid.de/entity/Q469451,650
https://database.factgrid.de/entity/Q164254,652
https://database.factgrid.de/entity/Q164258,653
https://database.factgrid.de/entity/Q452397,663
https://database.factgrid.de/entity/Q469445,665
https://database.factgrid.de/entity/Q469425,666
https://database.factgrid.de/entity/Q469447,674
https://database.factgrid.de/entity/Q164253,676
https://database.factgrid.de/entity/Q164264,680
https://database.factgrid.de/entity/Q99544,713
https://database.factgrid.de/entity/Q469534,716
https://database.factgrid.de/entity/Q633301,719
https://database.factgrid.de/entity/Q390556,736
https://database.factgrid.de/entity/Q1306154,738
https://database.factgrid.de/entity/Q469620,867
https://database.factgrid.de/entity/Q400568,1058
https://database.factgrid.de/entity/Q898048,20089
https://database.factgrid.de/entity/Q1351535,3029
https://database.factgrid.de/entity/Q1743542,3276
https://database.factgrid.de/entity/Q77039,3591
https://database.factgrid.de/entity/Q1746225,3770
https://database.factgrid.de/entity/Q898090,1059
https://database.factgrid.de/entity/Q97538,92588
https://database.factgrid.de/entity/Q469630,975
https://database.factgrid.de/entity/Q469511,2014
https://database.factgrid.de/entity/Q961497,30002
https://database.factgrid.de/entity/Q1750643,50003
https://database.factgrid.de/entity/Q1034486,70010
https://database.factgrid.de/entity/Q1306149,7002
https://database.factgrid.de/entity/Q898012,1014
https://database.factgrid.de/entity/Q400401,1016
https://database.factgrid.de/entity/Q469452,2029
https://database.factgrid.de/entity/Q164237,2039
https://database.factgrid.de/entity/Q469530,2040
https://database.factgrid.de/entity/Q164131,2041
https://database.factgrid.de/entity/Q898054,3007
https://database.factgrid.de/entity/Q898086,3008
https://database.factgrid.de/entity/Q898077,60027
https://database.factgrid.de/entity/Q1351547,60041
https://database.factgrid.de/entity/Q961495,60042
https://database.factgrid.de/entity/Q469624,1030
https://database.factgrid.de/entity/Q946140,1036
https://database.factgrid.de/entity/Q1750642,1042
https://database.factgrid.de/entity/Q898066,1052
https://database.factgrid.de/entity/Q469450,2055
https://database.factgrid.de/entity/Q469423,2061
https://database.factgrid.de/entity/Q469554,2062
https://database.factgrid.de/entity/Q469446,2063
https://database.factgrid.de/entity/Q469449,2065
https://database.factgrid.de/entity/Q470547,2066
https://database.factgrid.de/entity/Q469431,2067
https://database.factgrid.de/entity/Q945269,2077
https://database.factgrid.de/entity/Q898055,2084
https://database.factgrid.de/entity/Q400529,3017
https://database.factgrid.de/entity/Q898019,3020
https://database.factgrid.de/entity/Q898050,3022
https://database.factgrid.de/entity/Q1266119,40039
https://database.factgrid.de/entity/Q1266114,40043
https://database.factgrid.de/entity/Q469626,4018
https://database.factgrid.de/entity/Q1345272,4020
https://database.factgrid.de/entity/Q169370,4025
https://database.factgrid.de/entity/Q394186,60045
https://database.factgrid.de/entity/Q961498,60058
https://database.factgrid.de/entity/Q898080,60073
https://database.factgrid.de/entity/Q173227,60076
https://database.factgrid.de/entity/Q961496,60077
https://database.factgrid.de/entity/Q902473,60085
https://database.factgrid.de/entity/Q898072,60094
https://database.factgrid.de/entity/Q173821,60099
https://database.factgrid.de/entity/Q898088,60105
https://database.factgrid.de/entity/Q399930,90011
https://database.factgrid.de/entity/Q898052,1067
https://database.factgrid.de/entity/Q898070,1068
https://database.factgrid.de/entity/Q898014,1070
https://database.factgrid.de/entity/Q400538,1071
https://database.factgrid.de/entity/Q649304,1073
https://database.factgrid.de/entity/Q898065,3052
https://database.factgrid.de/entity/Q1344716,3075
https://database.factgrid.de/entity/Q898068,3086
https://database.factgrid.de/entity/Q400541,3091
https://database.factgrid.de/entity/Q400539,3093
https://database.factgrid.de/entity/Q898021,4054
https://database.factgrid.de/entity/Q898022,4055
https://database.factgrid.de/entity/Q898031,4065
https://database.factgrid.de/entity/Q1345103,5029
https://database.factgrid.de/entity/Q1351548,60116
https://database.factgrid.de/entity/Q898046,60131
https://database.factgrid.de/entity/Q893552,60139
https://database.factgrid.de/entity/Q907808,60144
https://database.factgrid.de/entity/Q898053,60145
https://database.factgrid.de/entity/Q219533,60174
https://database.factgrid.de/entity/Q1351540,11137
https://database.factgrid.de/entity/Q898017,30121
https://database.factgrid.de/entity/Q1351543,3109
https://database.factgrid.de/entity/Q898056,3118
https://database.factgrid.de/entity/Q961502,40131
https://database.factgrid.de/entity/Q898036,4073
https://database.factgrid.de/entity/Q469548,4075
https://database.factgrid.de/entity/Q1344718,4096
https://database.factgrid.de/entity/Q165451,50218
https://database.factgrid.de/entity/Q1750649,60191
https://database.factgrid.de/entity/Q898044,60206
https://database.factgrid.de/entity/Q1351549,60326
https://database.factgrid.de/entity/Q393327,60327
https://database.factgrid.de/entity/Q907880,60329
https://database.factgrid.de/entity/Q922937,10250
https://database.factgrid.de/entity/Q1750648,10318
https://database.factgrid.de/entity/Q1351541,11236
https://database.factgrid.de/entity/Q1379834,11261
https://database.factgrid.de/entity/Q1750645,30059
https://database.factgrid.de/entity/Q1266092,30145
https://database.factgrid.de/entity/Q995364,30173
https://database.factgrid.de/entity/Q400537,30198
https://database.factgrid.de/entity/Q898079,3035
https://database.factgrid.de/entity/Q172900,30350
https://database.factgrid.de/entity/Q1743479,3103
https://database.factgrid.de/entity/Q898059,3144
https://database.factgrid.de/entity/Q898069,3145
https://database.factgrid.de/entity/Q898015,3157
https://database.factgrid.de/entity/Q898057,3179
https://database.factgrid.de/entity/Q898064,3181
https://database.factgrid.de/entity/Q898047,3182
https://database.factgrid.de/entity/Q898084,3185
https://database.factgrid.de/entity/Q1351544,3193
https://database.factgrid.de/entity/Q898011,3309
https://database.factgrid.de/entity/Q961500,40160
https://database.factgrid.de/entity/Q314210,4037
https://database.factgrid.de/entity/Q947542,50265
https://database.factgrid.de/entity/Q266876,60182
https://database.factgrid.de/entity/Q400532,60369
https://database.factgrid.de/entity/Q1746360,60381
https://database.factgrid.de/entity/Q898095,60383
https://database.factgrid.de/entity/Q901347,60387
https://database.factgrid.de/entity/Q898099,60411
https://database.factgrid.de/entity/Q898098,60413
https://database.factgrid.de/entity/Q251756,60421
https://database.factgrid.de/entity/Q898093,60427
https://database.factgrid.de/entity/Q1746751,60431
https://database.factgrid.de/entity/Q898058,60471
https://database.factgrid.de/entity/Q1351661,7124
https://database.factgrid.de/entity/Q1351551,7141
https://database.factgrid.de/entity/Q1351552,7142
https://database.factgrid.de/entity/Q1750646,8262
https://database.factgrid.de/entity/Q1351542,11335
https://database.factgrid.de/entity/Q162547,3238
https://database.factgrid.de/entity/Q898082,3240
https://database.factgrid.de/entity/Q400526,3241
https://database.factgrid.de/entity/Q898061,3243
https://database.factgrid.de/entity/Q400527,3245
https://database.factgrid.de/entity/Q400528,3246
https://database.factgrid.de/entity/Q400522,3247
https://database.factgrid.de/entity/Q400416,3249
https://database.factgrid.de/entity/Q898018,3260
https://database.factgrid.de/entity/Q394210,3265
https://database.factgrid.de/entity/Q898067,3271
https://database.factgrid.de/entity/Q898013,3285
https://database.factgrid.de/entity/Q898051,3303
https://database.factgrid.de/entity/Q400542,3318
https://database.factgrid.de/entity/Q160366,3503
https://database.factgrid.de/entity/Q160279,783
https://database.factgrid.de/entity/Q898049,789
https://database.factgrid.de/entity/Q164239,92445
https://database.factgrid.de/entity/Q173657,99912
https://database.factgrid.de/entity/Q1349982,916
https://database.factgrid.de/entity/Q470549,759
https://database.factgrid.de/entity/Q898092,797
https://database.factgrid.de/entity/Q469619,803
https://database.factgrid.de/entity/Q898078,822
https://database.factgrid.de/entity/Q1746753,857
https://database.factgrid.de/entity/Q1746305,3427
https://database.factgrid.de/entity/Q494079,3795
https://database.factgrid.de/entity/Q251735,3982
https://database.factgrid.de/entity/Q1750639,748
https://database.factgrid.de/entity/Q424850,749
https://database.factgrid.de/entity/Q400533,775
https://database.factgrid.de/entity/Q898083,777
https://database.factgrid.de/entity/Q898026,832
https://database.factgrid.de/entity/Q470551,865
https://database.factgrid.de/entity/Q1181841,883
https://database.factgrid.de/entity/Q633327,886
https://database.factgrid.de/entity/Q469509,890
https://database.factgrid.de/entity/Q1121834,909
https://database.factgrid.de/entity/Q633344,910
https://database.factgrid.de/entity/Q469622,963
https://database.factgrid.de/entity/Q1381176,966
https://database.factgrid.de/entity/Q469623,983
https://database.factgrid.de/entity/Q898087,3392
https://database.factgrid.de/entity/Q898037,3494
https://database.factgrid.de/entity/Q274532,92235
https://database.factgrid.de/entity/Q1380910,20093
https://database.factgrid.de/entity/Q294750,3803
https://database.factgrid.de/entity/Q902472,20037
https://database.factgrid.de/entity/Q898081,20067
https://database.factgrid.de/entity/Q898028,4060
https://database.factgrid.de/entity/Q469549,10505
https://database.factgrid.de/entity/Q1351554,10611
https://database.factgrid.de/entity/Q898045,20209
https://database.factgrid.de/entity/Q1266092,30367
https://database.factgrid.de/entity/Q1351545,3339
https://database.factgrid.de/entity/Q1351546,3340
https://database.factgrid.de/entity/Q898091,3352
https://database.factgrid.de/entity/Q898062,3394
https://database.factgrid.de/entity/Q400536,3422
https://database.factgrid.de/entity/Q400535,3428
https://database.factgrid.de/entity/Q898089,3430
https://database.factgrid.de/entity/Q898075,3444
https://database.factgrid.de/entity/Q898071,3464
https://database.factgrid.de/entity/Q898039,3489
https://database.factgrid.de/entity/Q898042,3490
https://database.factgrid.de/entity/Q752394,3491
https://database.factgrid.de/entity/Q400530,3492
https://database.factgrid.de/entity/Q898024,3493
https://database.factgrid.de/entity/Q898035,3495
https://database.factgrid.de/entity/Q898025,3496
https://database.factgrid.de/entity/Q898020,3498
https://database.factgrid.de/entity/Q898027,3499
https://database.factgrid.de/entity/Q898041,3500
https://database.factgrid.de/entity/Q400412,3501
https://database.factgrid.de/entity/Q400557,3502
https://database.factgrid.de/entity/Q1214087,3524
https://database.factgrid.de/entity/Q469604,3529
https://database.factgrid.de/entity/Q1750641,3586
https://database.factgrid.de/entity/Q633295,3595
https://database.factgrid.de/entity/Q469552,3604
https://database.factgrid.de/entity/Q469429,3624
https://database.factgrid.de/entity/Q1746605,3631
https://database.factgrid.de/entity/Q898023,3771
https://database.factgrid.de/entity/Q898040,3773
https://database.factgrid.de/entity/Q898096,3777
https://database.factgrid.de/entity/Q633297,3781
https://database.factgrid.de/entity/Q419587,3809
https://database.factgrid.de/entity/Q1750647,3823
https://database.factgrid.de/entity/Q1183403,3902
https://database.factgrid.de/entity/Q898034,4071
https://database.factgrid.de/entity/Q400418,4083
https://database.factgrid.de/entity/Q898038,4444
https://database.factgrid.de/entity/Q945267,4518
https://database.factgrid.de/entity/Q1061676,4520
https://database.factgrid.de/entity/Q898076,4618
https://database.factgrid.de/entity/Q1379934,4761
https://database.factgrid.de/entity/Q539497,4878
https://database.factgrid.de/entity/Q1183061,5000
https://database.factgrid.de/entity/Q945286,5219
https://database.factgrid.de/entity/Q1746361,90219
https://database.factgrid.de/entity/Q469547,92440
https://database.factgrid.de/entity/Q410008,75719
https://database.factgrid.de/entity/Q469551,10512
https://database.factgrid.de/entity/Q470563,10750
https://database.factgrid.de/entity/Q469550,10755
https://database.factgrid.de/entity/Q470552,10765
https://database.factgrid.de/entity/Q470545,10767
https://database.factgrid.de/entity/Q469553,90296
https://database.factgrid.de/entity/Q469621,90837
https://database.factgrid.de/entity/Q469600,92592
https://database.factgrid.de/entity/Q469606,92594
https://database.factgrid.de/entity/Q469605,92601
https://database.factgrid.de/entity/Q469430,92603
https://database.factgrid.de/entity/Q469601,92605
https://database.factgrid.de/entity/Q1183405,10576
https://database.factgrid.de/entity/Q1351537,10614
https://database.factgrid.de/entity/Q1746749,10814
https://database.factgrid.de/entity/Q1351538,10818
https://database.factgrid.de/entity/Q947547,40347
https://database.factgrid.de/entity/Q1351555,10742
https://database.factgrid.de/entity/Q1207238,10747
https://database.factgrid.de/entity/Q1351539,10844
https://database.factgrid.de/entity/Q1379834,10852
https://database.factgrid.de/entity/Q1750640,11665
https://database.factgrid.de/entity/Q1746750,11773
https://database.factgrid.de/entity/Q898016,20154
https://database.factgrid.de/entity/Q898043,20165
https://database.factgrid.de/entity/Q898094,20192
https://database.factgrid.de/entity/Q898063,20218
https://database.factgrid.de/entity/Q1380911,20398
https://database.factgrid.de/entity/Q1093145,20454
https://database.factgrid.de/entity/Q1068018,20457
https://database.factgrid.de/entity/Q1379856,20494
https://database.factgrid.de/entity/Q947544,8599
https://database.factgrid.de/entity/Q898073,40346
https://database.factgrid.de/entity/Q898097,92250
https://database.factgrid.de/entity/Q949941,92423
https://database.factgrid.de/entity/Q1207397,92475
https://database.factgrid.de/entity/Q1182949,92505
https://database.factgrid.de/entity/Q1351553,92566
https://database.factgrid.de/entity/Q1207241,92610
https://database.factgrid.de/entity/Q1746358,99996
https://database.factgrid.de/entity/Q1746359,99993
